PID,TurnaroundTime,WaitingTime,ResponseTime,IO Time
7,0.5894,-0.978962,0.391967,0.055793
11,1.91796,0.261707,1.15127,0.104166
15,1.75769,-0.468885,1.54354,0.052726
19,4.47178,3.26376,2.71631,0.073907
23,4.2048,3.50675,2.76229,0.058536
27,2.87512,0.184076,2.83908,0.059797
1,0.664256,-1.59173,0.351923,0.087246
2,17.2842,15.5261,17.036,0.409319
9,19.7281,18.0877,17.6749,0.107706
13,19.3449,18.6871,18.8949,0.087905
17,19.6386,18.2186,18.985,0.119912
21,21.571,20.9853,19.4182,0.098939
25,22.3086,21.4605,19.6503,0.090151
5,17.8571,17.1801,17.5776,0.200224
3,35.1632,34.2282,32.2101,0.061618
6,32.7712,25.6056,32.4105,0.328118
10,39.0108,34.2701,35.4474,0.262933
14,36.3032,32.8314,36.0541,0.202456
18,41.4194,39.4525,38.6438,0.296718
22,42.4288,36.1538,39.4076,0.346997
26,41.7707,40.1493,40.9156,0.235871
4,71.8941,61.9773,70.8672,0.547205
8,77.0616,68.2126,76.9684,0.777886
12,79.7151,76.2435,77.5309,0.618647
16,78.5932,72.0798,77.9053,0.652384
20,78.5583,74.9838,78.2909,0.513155
24,80.3893,70.1966,79.8302,0.573018
28,82.9513,75.5891,82.8112,0.436948
ThroughPut,0.230152/s,,,
