PID,TurnaroundTime,WaitingTime,ResponseTime,IO Time
6,39.1542,36.4962,2.53759,0.891255
7,40.4242,36.1021,2.74469,0.666793
9,50.1499,47.0751,4.46025,0.573999
2,56.6868,50.803,0.062328,1.04628
5,58.2316,55.2763,2.39111,0.84701
8,58.2499,54.172,3.66823,0.572437
11,59.5165,50.7878,5.45404,1.11533
14,60.2311,56.9532,6.68503,0.786173
3,61.4694,56.9796,0.804007,0.922715
4,62.169,56.1781,1.25686,0.625039
13,63.894,61.3183,6.32159,1.06453
1,64.6167,61.1636,0.013425,0.658893
10,66.3361,60.363,4.75802,1.00089
12,66.4661,59.2835,5.67892,1.06627
15,66.7265,60.6737,7.64369,0.957626
Avg,58.2881,53.575,3.63198,
ThroughPut,0.224797/s,,,
