PID,TurnaroundTime,WaitingTime,ResponseTime,IO Time
26,25.8964,25.5234,1.77929,0.115155
30,86.1365,84.4778,2.0147,0.142394
22,91.2007,89.4094,1.54527,0.125887
16,93.4556,91.6582,1.20763,0.18621
14,98.5995,96.6277,1.09282,0.153403
21,103.839,101.762,1.48797,0.090215
4,105.393,103.299,0.515711,0.202599
9,110.323,108.036,0.801032,0.09691
38,112.167,109.874,2.48114,0.111655
20,115.729,113.36,1.43035,0.172113
37,120.835,118.298,2.426,0.093424
32,131.214,128.416,2.13229,0.186037
34,141.248,138.058,2.24946,0.127107
2,145.368,142.034,0.397729,0.155229
13,145.978,142.638,1.03201,0.093887
24,151.802,148.345,1.66397,0.187018
36,152.312,148.825,2.36817,0.172272
33,153.822,150.182,2.19151,0.095484
28,156.889,153.179,1.89956,0.169937
23,165.336,161.148,1.60441,0.071297
31,176.762,172.176,2.07353,0.092882
18,181.707,176.863,1.31964,0.107592
25,183.074,178.222,1.72147,0.109221
10,193.117,187.635,0.858914,0.124645
8,197.401,191.755,0.744652,0.186194
5,205.325,199.206,0.572875,0.119978
17,215.861,208.968,1.26337,0.107586
27,220.306,213.132,1.84006,0.061746
12,234.156,225.857,0.975665,0.171641
3,243.59,234.443,0.459907,0.109368
7,251.711,241.725,0.68492,0.094219
19,257.35,246.712,1.37479,0.07623
35,258.888,248.063,2.30908,0.091513
1,258.92,248.133,0.375904,0.114561
6,267.367,254.919,0.629138,0.234711
15,267.79,255.166,1.14966,0.093294
11,272.895,258.181,0.91882,0.092595
29,276.215,258.862,1.95673,0.092447
ThroughPut,0.13776/s,,,
