PID,TurnaroundTime,WaitingTime,ResponseTime,IO Time
1,4.91285,3.45212,0.363545,0.088894
2,5.67798,2.53358,0.40373,0.410183
3,8.08878,7.6312,2.79476,0.053268
4,16.6831,11.7488,5.90799,0.5479
5,22.3727,15.5064,6.62667,0.196086
6,36.5309,25.6738,19.1206,0.326009
7,38.1442,32.8558,24.813,0.077066
8,47.3853,45.2984,38.1597,0.780728
9,47.5425,41.3517,38.4561,0.124186
10,53.1609,49.9482,47.5581,0.263409
11,53.8939,51.6477,47.7135,0.122622
12,59.4954,57.6439,53.9096,0.621226
13,59.9769,58.5606,54.1144,0.094275
14,69.6635,65.86,59.9928,0.204034
15,72.2326,66.7692,60.6934,0.077592
16,81.1292,75.8892,72.2482,0.655056
17,81.5345,77.7686,73.0553,0.125209
18,88.9438,83.4027,81.5504,0.29556
19,90.3242,88.6902,84.5897,0.093591
20,103.551,99.3795,90.3395,0.512898
21,104.405,97.8513,93.3573,0.108899
23,121.018,117.285,110.523,0.076665
24,122.78,118.424,110.989,0.559363
25,141.322,136.058,122.796,0.093931
26,142.085,134.25,124.501,0.234791
27,150.741,144.702,142.101,0.078511
28,154.317,150.689,146.242,0.446199
22,154.471,145.648,104.419,0.358236
ThroughPut,0.181689/s,,,
