PID,TurnaroundTime,WaitingTime,ResponseTime,IO Time
9,41.2954,40.0981,1.17743,0.091362
13,42.5737,38.0188,1.56857,0.085763
17,43.2305,41.9941,2.70233,0.076715
21,44.3393,38.0014,2.7623,0.091396
25,46.05,39.0783,2.85025,0.098201
29,46.2202,42.794,3.74179,0.076004
33,46.3589,43.2541,4.57667,0.097603
37,47.637,43.8646,4.89675,0.07652
1,49.811,46.8585,0.43012,0.119016
5,50.1537,42.4679,0.452474,0.126997
2,58.8259,57.9686,50.1685,0.155251
10,60.1194,59.4822,51.4934,0.124104
14,62.3791,61.396,52.0219,0.155725
18,65.1393,64.8431,52.8654,0.109925
22,65.4981,64.8142,53.0674,0.12503
26,65.7612,65.1718,53.6415,0.123836
30,68.842,68.1241,54.1223,0.139801
34,69.4975,68.7032,54.7159,0.125055
38,72.1546,71.5949,55.4,0.124076
6,72.9344,71.5784,50.8867,0.233555
7,115.338,113.302,74.4177,0.093635
11,117.224,112.381,75.2553,0.09346
15,120.213,114.105,75.4428,0.093907
19,121.927,118.549,78.3236,0.077335
23,123.642,115.648,80.3139,0.077393
27,125.985,122.121,80.8308,0.077147
31,126.36,122.831,81.221,0.092175
35,131.37,130.17,84.2348,0.093299
3,134.473,127.552,72.9505,0.127582
4,151.408,150.832,134.488,0.202575
8,152.169,146.54,134.877,0.192006
12,152.496,151.598,140.322,0.161089
16,153.12,150.314,141.075,0.185504
20,153.351,152.137,143.704,0.166821
24,154.982,153.309,144.76,0.190326
28,155.356,153.584,146.259,0.170552
32,158.568,157.287,147.875,0.187365
36,160.688,160.362,148.985,0.169713
ThroughPut,0.237115/s,,,
